Defect Type,Median Bounding Box Size,Scale Classification
welding_blob,127745.83810011859,Large Scale
excessive_flash,79975.20919080095,Large Scale
improper_welding,2807.9804992929235,Large Scale
unknown,2556.232168615021,Large Scale
residue_stain,1647.4640186446907,Large Scale
line_crack,883.8902930293078,Small Scale
light_stain,469.14056404124744,Small Scale
chip_crack,225.69078231835297,Small Scale
bubble,91.40894174088446,Small Scale
particle_material,76.55435077801334,Small Scale
